Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,default
US-WI-53540-Rate 1,US,WI,53540,5.5,,,,
US-WI-53541-Rate 1,US,WI,53541,5.5,,,,
US-WI-53542-Rate 1,US,WI,53542,5,,,,
US-WI-53543-Rate 1,US,WI,53543,5.5,,,,
US-WI-53544-Rate 1,US,WI,53544,5.5,,,,
US-WI-53545-Rate 1,US,WI,53545,5,,,,
US-WI-53546-Rate 1,US,WI,53546,5,,,,
US-WI-53547-Rate 1,US,WI,53547,5,,,,
US-WI-53548-Rate 1,US,WI,53548,5,,,,
US-WI-53549-Rate 1,US,WI,53549,5.5,,,,
US-WI-53550-Rate 1,US,WI,53550,5.5,,,,
US-WI-53551-Rate 1,US,WI,53551,5.5,,,,
US-WI-53553-Rate 1,US,WI,53553,5.5,,,,
US-WI-53554-Rate 1,US,WI,53554,5.5,,,,
US-WI-53555-Rate 1,US,WI,53555,5.5,,,,
US-WI-53556-Rate 1,US,WI,53556,5.5,,,,
US-WI-53557-Rate 1,US,WI,53557,5.5,,,,
US-WI-53558-Rate 1,US,WI,53558,5.5,,,,
US-WI-53559-Rate 1,US,WI,53559,5.5,,,,
US-WI-53560-Rate 1,US,WI,53560,5.5,,,,
US-WI-53561-Rate 1,US,WI,53561,5.5,,,,
US-WI-53562-Rate 1,US,WI,53562,5.5,,,,
US-WI-53562-Rate 1,US,WI,53562,5.5,,,,
US-WI-53563-Rate 1,US,WI,53563,5,,,,
US-WI-53565-Rate 1,US,WI,53565,5.5,,,,
US-WI-53566-Rate 1,US,WI,53566,5.5,,,,
US-WI-53569-Rate 1,US,WI,53569,5.5,,,,
US-WI-53570-Rate 1,US,WI,53570,5.5,,,,
US-WI-53571-Rate 1,US,WI,53571,5.5,,,,
US-WI-53572-Rate 1,US,WI,53572,5.5,,,,
US-WI-53573-Rate 1,US,WI,53573,5.5,,,,
US-WI-53574-Rate 1,US,WI,53574,5.5,,,,
US-WI-53575-Rate 1,US,WI,53575,5.5,,,,
US-WI-53575-Rate 1,US,WI,53575,5.5,,,,
US-WI-53576-Rate 1,US,WI,53576,5,,,,
US-WI-53577-Rate 1,US,WI,53577,5.5,,,,
US-WI-53578-Rate 1,US,WI,53578,5.5,,,,
US-WI-53579-Rate 1,US,WI,53579,5.5,,,,
US-WI-53580-Rate 1,US,WI,53580,5.5,,,,
US-WI-53581-Rate 1,US,WI,53581,5.5,,,,
US-WI-53581-Rate 1,US,WI,53581,5.5,,,,
US-WI-53582-Rate 1,US,WI,53582,5.5,,,,
US-WI-53583-Rate 1,US,WI,53583,5.5,,,,
US-WI-53584-Rate 1,US,WI,53584,5.5,,,,
US-WI-53585-Rate 1,US,WI,53585,5.5,,,,
US-WI-53586-Rate 1,US,WI,53586,5.5,,,,
US-WI-53586-Rate 1,US,WI,53586,5.5,,,,
US-WI-53587-Rate 1,US,WI,53587,5.5,,,,
US-WI-53588-Rate 1,US,WI,53588,5.5,,,,
US-WI-53589-Rate 1,US,WI,53589,5.5,,,,
US-WI-53590-Rate 1,US,WI,53590,5.5,,,,
US-WI-53593-Rate 1,US,WI,53593,5.5,,,,
US-WI-53593-Rate 1,US,WI,53593,5.5,,,,
US-WI-53593-Rate 1,US,WI,53593,5.5,,,,
US-WI-53594-Rate 1,US,WI,53594,5.5,,,,
US-WI-53595-Rate 1,US,WI,53595,5.5,,,,
US-WI-53596-Rate 1,US,WI,53596,5.5,,,,
US-WI-53597-Rate 1,US,WI,53597,5.5,,,,
US-WI-53597-Rate 1,US,WI,53597,5.5,,,,
US-WI-53598-Rate 1,US,WI,53598,5.5,,,,
